품목일련번호,is_capsule,shape,front_color,back_color,path
197400571,0,원형,yellow,yellow,D:/drug/image\197400571.jpg
198803039,0,장방형,red_brown,red_brown,D:/drug/image\198803039.jpg
200703756,0,원형,red_brown,red_brown,D:/drug/image\200703756.jpg
199703153,0,장방형,white,white,D:/drug/image\199703153.jpg
200004062,0,원형,white,white,D:/drug/image\200004062.jpg
200402488,0,원형,white,white,D:/drug/image\200402488.jpg
199102043,1,장방형,green,white,D:/drug/image\199102043.jpg
199702297,0,원형,white,white,D:/drug/image\199702297.jpg
200502773,0,타원형,white,white,D:/drug/image\200502773.jpg
199502505,1,장방형,green,green,D:/drug/image\199502505.jpg
199700745,1,장방형,green,yellow,D:/drug/image\199700745.jpg
198701796,1,장방형,black_blue_purple,black_blue_purple,D:/drug/image\198701796.jpg
200202791,0,원형,white,white,D:/drug/image\200202791.jpg
200700055,0,원형,white,white,D:/drug/image\200700055.jpg
198100119,0,원형,white,white,D:/drug/image\198100119.jpg
198700405,0,장방형,green,green,D:/drug/image\198700405.jpg
198200170,0,장방형,white,white,D:/drug/image\198200170.jpg
200300401,0,장방형,white,white,D:/drug/image\200300401.jpg
200200444,0,타원형,yellow,yellow,D:/drug/image\200200444.jpg
200400462,1,장방형,red_brown,red_brown,D:/drug/image\200400462.jpg
200400486,0,타원형,yellow,yellow,D:/drug/image\200400486.jpg
200400475,1,장방형,black_blue_purple,black_blue_purple,D:/drug/image\200400475.jpg
198100123,1,장방형,green,green,D:/drug/image\198100123.jpg
200500547,0,타원형,white,white,D:/drug/image\200500547.jpg
199400494,0,원형,white,white,D:/drug/image\199400494.jpg
200200445,0,원형,green,green,D:/drug/image\200200445.jpg
199700749,0,원형,green,green,D:/drug/image\199700749.jpg
200500548,0,타원형,yellow,yellow,D:/drug/image\200500548.jpg
200400477,0,장방형,black_blue_purple,black_blue_purple,D:/drug/image\200400477.jpg
199300693,1,장방형,yellow,yellow,D:/drug/image\199300693.jpg
200500551,0,원형,white,white,D:/drug/image\200500551.jpg
200500554,0,원형,green,green,D:/drug/image\200500554.jpg
200400478,0,원형,white,white,D:/drug/image\200400478.jpg
199300694,0,원형,white,white,D:/drug/image\199300694.jpg
200500557,0,타원형,yellow,yellow,D:/drug/image\200500557.jpg
200400480,0,원형,white,white,D:/drug/image\200400480.jpg
200400481,1,장방형,yellow,yellow,D:/drug/image\200400481.jpg
199700738,0,타원형,white,white,D:/drug/image\199700738.jpg
200700726,1,타원형,black_blue_purple,black_blue_purple,D:/drug/image\200700726.jpg
199603003,0,장방형,white,white,D:/drug/image\199603003.jpg
200100579,0,장방형,red_brown,red_brown,D:/drug/image\200100579.jpg
200700470,0,타원형,yellow,yellow,D:/drug/image\200700470.jpg
200607866,0,원형,yellow,yellow,D:/drug/image\200607866.jpg
199600572,1,장방형,yellow,red_brown,D:/drug/image\199600572.jpg
197900141,0,원형,white,white,D:/drug/image\197900141.jpg
199600573,1,타원형,red_brown,red_brown,D:/drug/image\199600573.jpg
200200443,0,원형,black_blue_purple,black_blue_purple,D:/drug/image\200200443.jpg
200000803,1,장방형,black_blue_purple,black_blue_purple,D:/drug/image\200000803.jpg
199300692,0,원형,red_brown,red_brown,D:/drug/image\199300692.jpg
200000796,0,원형,white,white,D:/drug/image\200000796.jpg
200000797,0,원형,yellow,yellow,D:/drug/image\200000797.jpg
200000799,1,장방형,red_brown,red_brown,D:/drug/image\200000799.jpg
198000160,0,원형,white,white,D:/drug/image\198000160.jpg
198200166,1,장방형,black_blue_purple,red_brown,D:/drug/image\198200166.jpg
198900462,1,장방형,black_blue_purple,red_brown,D:/drug/image\198900462.jpg
198900463,0,원형,white,white,D:/drug/image\198900463.jpg
199100569,1,장방형,red_brown,yellow,D:/drug/image\199100569.jpg
199400486,0,원형,white,white,D:/drug/image\199400486.jpg
199500435,1,장방형,green,yellow,D:/drug/image\199500435.jpg
199900509,1,타원형,yellow,yellow,D:/drug/image\199900509.jpg
200600115,0,타원형,white,white,D:/drug/image\200600115.jpg
199500439,0,원형,white,white,D:/drug/image\199500439.jpg
200400469,0,원형,yellow,yellow,D:/drug/image\200400469.jpg
200500541,0,원형,yellow,yellow,D:/drug/image\200500541.jpg
200500542,0,장방형,yellow,yellow,D:/drug/image\200500542.jpg
199500630,0,장방형,white,white,D:/drug/image\199500630.jpg
200803641,0,타원형,white,white,D:/drug/image\200803641.jpg
198401066,0,원형,white,white,D:/drug/image\198401066.jpg
200700844,0,장방형,white,white,D:/drug/image\200700844.jpg
200606561,1,장방형,green,green,D:/drug/image\200606561.jpg
198701585,0,원형,white,white,D:/drug/image\198701585.jpg
200004064,0,원형,red_brown,red_brown,D:/drug/image\200004064.jpg
200807284,0,타원형,red_brown,red_brown,D:/drug/image\200807284.jpg
200502784,1,장방형,red_brown,yellow,D:/drug/image\200502784.jpg
200502785,0,장방형,green,yellow,D:/drug/image\200502785.jpg
200600576,0,타원형,yellow,yellow,D:/drug/image\200600576.jpg
200701020,0,각형,red_brown,red_brown,D:/drug/image\200701020.jpg
200701021,0,원형,white,white,D:/drug/image\200701021.jpg
200701045,0,원형,white,white,D:/drug/image\200701045.jpg
200805113,0,기타,white,white,D:/drug/image\200805113.jpg
200400320,1,장방형,green,green,D:/drug/image\200400320.jpg
200400322,0,장방형,white,white,D:/drug/image\200400322.jpg
200400323,0,원형,yellow,yellow,D:/drug/image\200400323.jpg
200500419,0,타원형,red_brown,red_brown,D:/drug/image\200500419.jpg
200500421,0,원형,red_brown,red_brown,D:/drug/image\200500421.jpg
199200183,0,원형,white,white,D:/drug/image\199200183.jpg
199300168,0,원형,white,white,D:/drug/image\199300168.jpg
200604180,0,원형,green,green,D:/drug/image\200604180.jpg
196600007,0,원형,yellow,yellow,D:/drug/image\196600007.jpg
198300146,1,장방형,yellow,yellow,D:/drug/image\198300146.jpg
199000352,1,장방형,white,white,D:/drug/image\199000352.jpg
200300266,0,원형,yellow,yellow,D:/drug/image\200300266.jpg
200000175,0,장방형,yellow,yellow,D:/drug/image\200000175.jpg
199300175,0,원형,red_brown,red_brown,D:/drug/image\199300175.jpg
198300049,0,원형,yellow,yellow,D:/drug/image\198300049.jpg
197600035,0,원형,white,white,D:/drug/image\197600035.jpg
199600144,1,장방형,red_brown,white,D:/drug/image\199600144.jpg
199400095,1,장방형,white,white,D:/drug/image\199400095.jpg
198500049,1,장방형,red_brown,yellow,D:/drug/image\198500049.jpg
199300958,0,원형,yellow,yellow,D:/drug/image\199300958.jpg
199300959,0,원형,yellow,yellow,D:/drug/image\199300959.jpg
199300960,0,원형,yellow,yellow,D:/drug/image\199300960.jpg
200300661,0,기타,green,green,D:/drug/image\200300661.jpg
200500881,1,장방형,red_brown,red_brown,D:/drug/image\200500881.jpg
198900739,1,장방형,yellow,yellow,D:/drug/image\198900739.jpg
197600141,0,원형,white,white,D:/drug/image\197600141.jpg
199300454,1,장방형,red_brown,red_brown,D:/drug/image\199300454.jpg
198800331,1,장방형,black_blue_purple,yellow,D:/drug/image\198800331.jpg
199900349,0,원형,white,white,D:/drug/image\199900349.jpg
200100383,0,원형,yellow,yellow,D:/drug/image\200100383.jpg
200803961,0,원형,yellow,yellow,D:/drug/image\200803961.jpg
197500185,1,장방형,red_brown,yellow,D:/drug/image\197500185.jpg
198600436,1,장방형,black_blue_purple,yellow,D:/drug/image\198600436.jpg
198900665,0,원형,white,white,D:/drug/image\198900665.jpg
198800557,1,장방형,white,white,D:/drug/image\198800557.jpg
200000554,0,원형,white,white,D:/drug/image\200000554.jpg
197000037,0,타원형,red_brown,red_brown,D:/drug/image\197000037.jpg
199700555,0,원형,yellow,yellow,D:/drug/image\199700555.jpg
200001102,0,타원형,white,white,D:/drug/image\200001102.jpg
199000708,1,타원형,red_brown,red_brown,D:/drug/image\199000708.jpg
198700514,0,원형,green,green,D:/drug/image\198700514.jpg
199500320,0,원형,white,white,D:/drug/image\199500320.jpg
199500322,0,원형,white,white,D:/drug/image\199500322.jpg
197700085,1,장방형,green,green,D:/drug/image\197700085.jpg
199700556,0,원형,white,white,D:/drug/image\199700556.jpg
200300274,0,원형,green,green,D:/drug/image\200300274.jpg
200300277,0,타원형,white,white,D:/drug/image\200300277.jpg
200803967,0,장방형,yellow,yellow,D:/drug/image\200803967.jpg
198700511,1,장방형,red_brown,yellow,D:/drug/image\198700511.jpg
197500186,0,원형,black_blue_purple,black_blue_purple,D:/drug/image\197500186.jpg
198600437,0,원형,black_blue_purple,black_blue_purple,D:/drug/image\198600437.jpg
198800558,0,원형,white,white,D:/drug/image\198800558.jpg
198400322,0,원형,red_brown,red_brown,D:/drug/image\198400322.jpg
200100391,0,장방형,white,white,D:/drug/image\200100391.jpg
199400369,0,원형,white,white,D:/drug/image\199400369.jpg
200200338,0,장방형,yellow,yellow,D:/drug/image\200200338.jpg
199900728,1,장방형,red_brown,red_brown,D:/drug/image\199900728.jpg
199900729,1,장방형,red_brown,red_brown,D:/drug/image\199900729.jpg
199000707,0,원형,white,white,D:/drug/image\199000707.jpg
198700513,0,타원형,white,white,D:/drug/image\198700513.jpg
198900669,1,장방형,black_blue_purple,black_blue_purple,D:/drug/image\198900669.jpg
200001101,1,타원형,yellow,yellow,D:/drug/image\200001101.jpg
197300104,0,원형,white,white,D:/drug/image\197300104.jpg
200500735,1,장방형,red_brown,red_brown,D:/drug/image\200500735.jpg
200100837,0,원형,white,white,D:/drug/image\200100837.jpg
200200734,0,원형,white,white,D:/drug/image\200200734.jpg
200200735,0,원형,white,white,D:/drug/image\200200735.jpg
198900741,0,원형,white,white,D:/drug/image\198900741.jpg
199600367,0,장방형,green,green,D:/drug/image\199600367.jpg
198200131,1,장방형,green,green,D:/drug/image\198200131.jpg
198600236,0,타원형,white,white,D:/drug/image\198600236.jpg
200200643,0,원형,white,white,D:/drug/image\200200643.jpg
198600509,0,원형,white,white,D:/drug/image\198600509.jpg
199100838,1,장방형,black_blue_purple,white,D:/drug/image\199100838.jpg
197500188,0,원형,green,green,D:/drug/image\197500188.jpg
200500767,0,기타,yellow,yellow,D:/drug/image\200500767.jpg
199400711,0,원형,white,white,D:/drug/image\199400711.jpg
200500892,0,기타,white,white,D:/drug/image\200500892.jpg
200300566,0,원형,white,white,D:/drug/image\200300566.jpg
200703757,0,원형,yellow,yellow,D:/drug/image\200703757.jpg
200300567,0,원형,yellow,yellow,D:/drug/image\200300567.jpg
200200644,0,타원형,red_brown,red_brown,D:/drug/image\200200644.jpg
199701063,0,원형,black_blue_purple,black_blue_purple,D:/drug/image\199701063.jpg
199701064,0,원형,black_blue_purple,black_blue_purple,D:/drug/image\199701064.jpg
199701065,0,원형,black_blue_purple,black_blue_purple,D:/drug/image\199701065.jpg
200400934,0,원형,white,white,D:/drug/image\200400934.jpg
200500426,1,장방형,white,white,D:/drug/image\200500426.jpg
200600080,0,타원형,yellow,yellow,D:/drug/image\200600080.jpg
200500714,0,원형,white,white,D:/drug/image\200500714.jpg
200500715,0,원형,red_brown,red_brown,D:/drug/image\200500715.jpg
200500717,0,원형,white,white,D:/drug/image\200500717.jpg
200500719,0,타원형,yellow,yellow,D:/drug/image\200500719.jpg
200500772,0,장방형,red_brown,red_brown,D:/drug/image\200500772.jpg
200300569,1,장방형,green,yellow,D:/drug/image\200300569.jpg
197900013,0,원형,yellow,yellow,D:/drug/image\197900013.jpg
199900835,0,원형,white,white,D:/drug/image\199900835.jpg
200001190,0,원형,white,white,D:/drug/image\200001190.jpg
200300655,0,타원형,red_brown,red_brown,D:/drug/image\200300655.jpg
200600081,0,원형,white,white,D:/drug/image\200600081.jpg
200600082,0,원형,yellow,yellow,D:/drug/image\200600082.jpg
199100420,1,장방형,black_blue_purple,white,D:/drug/image\199100420.jpg
197700088,0,원형,white,white,D:/drug/image\197700088.jpg
