품목일련번호,is_capsule,shape,color,path,white,yellow,green,red_brown,black_blue_purple
197400571,0,원형,"yellow, yellow",D:/drug/cropped\197400571_0.jpg,0,1,0,0,0
198803039,0,장방형,"red_brown, red_brown",D:/drug/cropped\198803039_0.jpg,0,0,0,1,0
200703756,0,원형,"red_brown, red_brown",D:/drug/cropped\200703756_0.jpg,0,0,0,1,0
199703153,0,장방형,"white, white",D:/drug/cropped\199703153_0.jpg,1,0,0,0,0
200004062,0,원형,"white, white",D:/drug/cropped\200004062_0.jpg,1,0,0,0,0
200402488,0,원형,"white, white",D:/drug/cropped\200402488_0.jpg,1,0,0,0,0
199102043,1,장방형,"green, white",D:/drug/cropped\199102043_0.jpg,1,0,1,0,0
199702297,0,원형,"white, white",D:/drug/cropped\199702297_0.jpg,1,0,0,0,0
200502773,0,타원형,"white, white",D:/drug/cropped\200502773_0.jpg,1,0,0,0,0
199502505,1,장방형,"green, green",D:/drug/cropped\199502505_0.jpg,0,0,1,0,0
199700745,1,장방형,"green, yellow",D:/drug/cropped\199700745_0.jpg,0,1,1,0,0
198701796,1,장방형,"black_blue_purple, black_blue_purple",D:/drug/cropped\198701796_0.jpg,0,0,0,0,1
200202791,0,원형,"white, white",D:/drug/cropped\200202791_0.jpg,1,0,0,0,0
200700055,0,원형,"white, white",D:/drug/cropped\200700055_0.jpg,1,0,0,0,0
198100119,0,원형,"white, white",D:/drug/cropped\198100119_0.jpg,1,0,0,0,0
198700405,0,장방형,"green, green",D:/drug/cropped\198700405_0.jpg,0,0,1,0,0
198200170,0,장방형,"white, white",D:/drug/cropped\198200170_0.jpg,1,0,0,0,0
200300401,0,장방형,"white, white",D:/drug/cropped\200300401_0.jpg,1,0,0,0,0
200200444,0,타원형,"yellow, yellow",D:/drug/cropped\200200444_0.jpg,0,1,0,0,0
200400462,1,장방형,"red_brown, red_brown",D:/drug/cropped\200400462_0.jpg,0,0,0,1,0
200400486,0,타원형,"yellow, yellow",D:/drug/cropped\200400486_0.jpg,0,1,0,0,0
200400475,1,장방형,"black_blue_purple, black_blue_purple",D:/drug/cropped\200400475_0.jpg,0,0,0,0,1
198100123,1,장방형,"green, green",D:/drug/cropped\198100123_0.jpg,0,0,1,0,0
200500547,0,타원형,"white, white",D:/drug/cropped\200500547_0.jpg,1,0,0,0,0
199400494,0,원형,"white, white",D:/drug/cropped\199400494_0.jpg,1,0,0,0,0
200200445,0,원형,"green, green",D:/drug/cropped\200200445_0.jpg,0,0,1,0,0
199700749,0,원형,"green, green",D:/drug/cropped\199700749_0.jpg,0,0,1,0,0
200500548,0,타원형,"yellow, yellow",D:/drug/cropped\200500548_0.jpg,0,1,0,0,0
200400477,0,장방형,"black_blue_purple, black_blue_purple",D:/drug/cropped\200400477_0.jpg,0,0,0,0,1
199300693,1,장방형,"yellow, yellow",D:/drug/cropped\199300693_0.jpg,0,1,0,0,0
200500551,0,원형,"white, white",D:/drug/cropped\200500551_0.jpg,1,0,0,0,0
200500554,0,원형,"green, green",D:/drug/cropped\200500554_0.jpg,0,0,1,0,0
200400478,0,원형,"white, white",D:/drug/cropped\200400478_0.jpg,1,0,0,0,0
199300694,0,원형,"white, white",D:/drug/cropped\199300694_0.jpg,1,0,0,0,0
200500557,0,타원형,"yellow, yellow",D:/drug/cropped\200500557_0.jpg,0,1,0,0,0
200400480,0,원형,"white, white",D:/drug/cropped\200400480_0.jpg,1,0,0,0,0
200400481,1,장방형,"yellow, yellow",D:/drug/cropped\200400481_0.jpg,0,1,0,0,0
199700738,0,타원형,"white, white",D:/drug/cropped\199700738_0.jpg,1,0,0,0,0
200700726,1,타원형,"black_blue_purple, black_blue_purple",D:/drug/cropped\200700726_0.jpg,0,0,0,0,1
199603003,0,장방형,"white, white",D:/drug/cropped\199603003_0.jpg,1,0,0,0,0
200100579,0,장방형,"red_brown, red_brown",D:/drug/cropped\200100579_0.jpg,0,0,0,1,0
200700470,0,타원형,"yellow, yellow",D:/drug/cropped\200700470_0.jpg,0,1,0,0,0
200607866,0,원형,"yellow, yellow",D:/drug/cropped\200607866_0.jpg,0,1,0,0,0
199600572,1,장방형,"yellow, red_brown",D:/drug/cropped\199600572_0.jpg,0,1,0,1,0
197900141,0,원형,"white, white",D:/drug/cropped\197900141_0.jpg,1,0,0,0,0
199600573,1,타원형,"red_brown, red_brown",D:/drug/cropped\199600573_0.jpg,0,0,0,1,0
200200443,0,원형,"black_blue_purple, black_blue_purple",D:/drug/cropped\200200443_0.jpg,0,0,0,0,1
200000803,1,장방형,"black_blue_purple, black_blue_purple",D:/drug/cropped\200000803_0.jpg,0,0,0,0,1
199300692,0,원형,"red_brown, red_brown",D:/drug/cropped\199300692_0.jpg,0,0,0,1,0
200000796,0,원형,"white, white",D:/drug/cropped\200000796_0.jpg,1,0,0,0,0
200000797,0,원형,"yellow, yellow",D:/drug/cropped\200000797_0.jpg,0,1,0,0,0
200000799,1,장방형,"red_brown, red_brown",D:/drug/cropped\200000799_0.jpg,0,0,0,1,0
