품목일련번호,is_capsule,shape,front_color,back_color,path
199102043,1,장방형,green,white,D:/drug/image\199102043.jpg
199502505,1,장방형,green,green,D:/drug/image\199502505.jpg
199700745,1,장방형,green,yellow,D:/drug/image\199700745.jpg
198701796,1,장방형,black_blue_purple,black_blue_purple,D:/drug/image\198701796.jpg
200400462,1,장방형,red_brown,red_brown,D:/drug/image\200400462.jpg
200400475,1,장방형,black_blue_purple,black_blue_purple,D:/drug/image\200400475.jpg
198100123,1,장방형,green,green,D:/drug/image\198100123.jpg
199300693,1,장방형,yellow,yellow,D:/drug/image\199300693.jpg
200400481,1,장방형,yellow,yellow,D:/drug/image\200400481.jpg
200700726,1,타원형,black_blue_purple,black_blue_purple,D:/drug/image\200700726.jpg
199600572,1,장방형,yellow,red_brown,D:/drug/image\199600572.jpg
199600573,1,타원형,red_brown,red_brown,D:/drug/image\199600573.jpg
200000803,1,장방형,black_blue_purple,black_blue_purple,D:/drug/image\200000803.jpg
200000799,1,장방형,red_brown,red_brown,D:/drug/image\200000799.jpg
198200166,1,장방형,black_blue_purple,red_brown,D:/drug/image\198200166.jpg
198900462,1,장방형,black_blue_purple,red_brown,D:/drug/image\198900462.jpg
199100569,1,장방형,red_brown,yellow,D:/drug/image\199100569.jpg
199500435,1,장방형,green,yellow,D:/drug/image\199500435.jpg
199900509,1,타원형,yellow,yellow,D:/drug/image\199900509.jpg
200606561,1,장방형,green,green,D:/drug/image\200606561.jpg
200502784,1,장방형,red_brown,yellow,D:/drug/image\200502784.jpg
200400320,1,장방형,green,green,D:/drug/image\200400320.jpg
198300146,1,장방형,yellow,yellow,D:/drug/image\198300146.jpg
199000352,1,장방형,white,white,D:/drug/image\199000352.jpg
199600144,1,장방형,red_brown,white,D:/drug/image\199600144.jpg
199400095,1,장방형,white,white,D:/drug/image\199400095.jpg
198500049,1,장방형,red_brown,yellow,D:/drug/image\198500049.jpg
200500881,1,장방형,red_brown,red_brown,D:/drug/image\200500881.jpg
198900739,1,장방형,yellow,yellow,D:/drug/image\198900739.jpg
199300454,1,장방형,red_brown,red_brown,D:/drug/image\199300454.jpg
198800331,1,장방형,black_blue_purple,yellow,D:/drug/image\198800331.jpg
197500185,1,장방형,red_brown,yellow,D:/drug/image\197500185.jpg
198600436,1,장방형,black_blue_purple,yellow,D:/drug/image\198600436.jpg
198800557,1,장방형,white,white,D:/drug/image\198800557.jpg
199000708,1,타원형,red_brown,red_brown,D:/drug/image\199000708.jpg
197700085,1,장방형,green,green,D:/drug/image\197700085.jpg
198700511,1,장방형,red_brown,yellow,D:/drug/image\198700511.jpg
199900728,1,장방형,red_brown,red_brown,D:/drug/image\199900728.jpg
199900729,1,장방형,red_brown,red_brown,D:/drug/image\199900729.jpg
198900669,1,장방형,black_blue_purple,black_blue_purple,D:/drug/image\198900669.jpg
200001101,1,타원형,yellow,yellow,D:/drug/image\200001101.jpg
200500735,1,장방형,red_brown,red_brown,D:/drug/image\200500735.jpg
198200131,1,장방형,green,green,D:/drug/image\198200131.jpg
199100838,1,장방형,black_blue_purple,white,D:/drug/image\199100838.jpg
200500426,1,장방형,white,white,D:/drug/image\200500426.jpg
200300569,1,장방형,green,yellow,D:/drug/image\200300569.jpg
199100420,1,장방형,black_blue_purple,white,D:/drug/image\199100420.jpg
200600170,1,타원형,yellow,yellow,D:/drug/image\200600170.jpg
200600174,1,장방형,red_brown,red_brown,D:/drug/image\200600174.jpg
200400772,1,장방형,red_brown,red_brown,D:/drug/image\200400772.jpg
200400914,1,장방형,black_blue_purple,white,D:/drug/image\200400914.jpg
200400733,1,장방형,black_blue_purple,white,D:/drug/image\200400733.jpg
200400336,1,장방형,black_blue_purple,white,D:/drug/image\200400336.jpg
200500435,1,장방형,red_brown,red_brown,D:/drug/image\200500435.jpg
200500437,1,장방형,red_brown,red_brown,D:/drug/image\200500437.jpg
199900723,1,타원형,green,green,D:/drug/image\199900723.jpg
200400738,1,장방형,red_brown,red_brown,D:/drug/image\200400738.jpg
198300374,1,장방형,red_brown,yellow,D:/drug/image\198300374.jpg
200100780,1,장방형,black_blue_purple,black_blue_purple,D:/drug/image\200100780.jpg
200400753,1,장방형,yellow,yellow,D:/drug/image\200400753.jpg
200400757,1,장방형,black_blue_purple,white,D:/drug/image\200400757.jpg
198500436,1,장방형,red_brown,red_brown,D:/drug/image\198500436.jpg
200200631,1,장방형,yellow,white,D:/drug/image\200200631.jpg
200400766,1,장방형,red_brown,red_brown,D:/drug/image\200400766.jpg
200500721,1,장방형,green,green,D:/drug/image\200500721.jpg
199100413,1,장방형,red_brown,white,D:/drug/image\199100413.jpg
199700548,1,장방형,black_blue_purple,black_blue_purple,D:/drug/image\199700548.jpg
200300269,1,장방형,green,yellow,D:/drug/image\200300269.jpg
200404889,1,장방형,green,yellow,D:/drug/image\200404889.jpg
200108428,1,장방형,yellow,yellow,D:/drug/image\200108428.jpg
200808211,1,장방형,green,yellow,D:/drug/image\200808211.jpg
198800060,1,장방형,red_brown,red_brown,D:/drug/image\198800060.jpg
199600087,1,장방형,yellow,yellow,D:/drug/image\199600087.jpg
199400069,1,장방형,yellow,yellow,D:/drug/image\199400069.jpg
200100769,1,장방형,yellow,white,D:/drug/image\200100769.jpg
200300281,1,장방형,yellow,yellow,D:/drug/image\200300281.jpg
